tcin_author,publications,matched_if,avg_if,median_if,total_citations,weighted_avg_if
"Hardiman, Orla",144,143,12.128671328671329,7.8,3670,27.519155313351497
"Molloy, Eleanor Joan",143,138,6.828260869565217,7.2,2002,9.776123876123876
"Romero-Ortuño, Román",121,118,6.76864406779661,6.1,1568,6.898150510204081
"Bokde, Arun L.W.",116,116,14.995689655172415,11.5,1800,20.987888888888897
"Lawlor, Brian A.",113,112,11.25625,7.75,2921,32.881855528928455
"Cannon, Mary",100,99,11.71919191919192,10.5,2108,18.474620493358632
"O'Neill, Desmond J.",66,63,11.647619047619047,6.3,539,8.278107606679036
"Corvin, Aiden P.",63,60,20.816666666666666,14.149999999999999,6249,58.365514482317174
"Doherty, Colin P.",61,60,11.246666666666666,7.949999999999999,1499,22.092928619079384
"Vanneste, Sven",90,58,7.660344827586207,6.65,1377,7.083006535947713
"Leroi, Iracema",79,48,10.65625,7.9,913,12.492113910186198
"Kennelly, Sean P.",48,48,9.722916666666666,6.7,999,18.35935935935936
"McLoughlin, Declan M.",46,46,8.826086956521738,7.050000000000001,510,12.534509803921567
"Campbell, Mathew",45,43,13.19767441860465,11.0,1305,20.833486590038312
"Reilly, Richard B.",43,38,7.1078947368421055,5.4,375,13.040800000000003
"Gillan, Claire M.",35,34,13.338235294117647,11.55,702,16.07108262108262
"Mills, Kingston H.G.",31,31,20.338709677419356,11.6,1312,57.633079268292676
"Whelan, Robert",31,30,8.146666666666667,7.05,469,10.131982942430705
"Harbison, Joseph A.",29,29,11.89655172413793,5.4,629,54.88219395866454
"Newell, F. N.",30,29,5.631034482758621,4.3,227,5.366519823788546
"Trepel, Dominic",43,27,8.58148148148148,8.1,616,8.185227272727273
"Farrar, Gwyneth Jane",26,26,7.753846153846154,8.649999999999999,392,8.718877551020407
"Naçi, Lorina",23,23,11.534782608695652,8.8,383,13.930548302872063
"Cunningham, Colm",24,22,19.45909090909091,12.55,4216,30.89871916508539
"Carson, Richard G.",22,22,7.786363636363637,8.2,429,7.133333333333333
"Di Liberto, Giovanni M.",25,21,8.004761904761905,6.7,453,8.7037527593819
"Cusack, Rhodri",21,19,12.43157894736842,8.1,245,15.259183673469389
"Harkin, Andrew J.",21,19,11.33157894736842,8.5,434,13.810829493087557
"Ryan, Tomás J.",18,18,15.41111111111111,10.3,322,22.27142857142857
"O'Mara, Shane M.",18,18,8.93888888888889,7.4,237,17.77805907172996
"Kelly, Clare",19,18,8.777777777777779,7.6,319,11.182445141065832
"Robertson, Ian H.",20,17,8.447058823529412,6.8,408,10.724999999999998
"Davey, Gavin P.",17,17,7.5588235294117645,7.6,257,15.774319066147859
"Froudist-Walsh, Sean",16,15,16.166666666666668,12.9,318,18.28553459119497
"Ramaswami, Mani",15,15,8.893333333333334,8.0,98,9.606122448979592
"Rozas, Isabel",16,15,6.446666666666667,5.8,61,6.024590163934426
"Doyle, Sarah L.",15,15,5.526666666666667,6.2,68,7.761764705882352
"Rowan, Michael J.",14,14,9.221428571428572,9.100000000000001,157,9.678343949044587
"Caldwell, Maeve A.",13,13,9.676923076923076,8.7,261,8.415708812260537
"Byrne, Ruth M.J.",16,13,6.538461538461538,5.7,185,3.9572972972972975
"Dev, Kumlesh Kumar",12,12,8.683333333333334,8.600000000000001,106,8.876415094339624
"McGrath, Jane",14,12,8.549999999999999,5.1,208,10.988461538461538
"Downer, Eric J.",12,12,7.575,8.45,146,8.936986301369863
"O'Connell, Redmond G.",11,11,16.227272727272727,12.9,169,25.30295857988166
"Tropea, Daniela",11,11,9.554545454545455,8.3,71,8.616901408450703
"Lopez-Valdes, Alejandro",14,10,21.740000000000002,7.0,138,56.925362318840584
"Jiménez-Mateos,E.M.",10,10,7.779999999999999,7.800000000000001,44,11.375000000000002
"Kelly, Aine M.",10,10,5.24,5.25,89,6.0640449438202255
"Mitchell, Kevin J.",12,9,15.855555555555554,6.8,155,8.003870967741934
"Kerskens, Christian M.",9,9,7.0,6.5,103,4.906796116504855
"McCarthy-Jones, Simon",9,8,3.975,3.0999999999999996,86,9.173255813953489
"Ahmad, Khurshid",8,8,2.75,1.0,26,7.461538461538462
"Dockree, Paul M.",8,7,7.414285714285714,6.3,50,6.362
"Lynch, Marina A.",6,6,9.049999999999999,8.7,255,8.801568627450981
"Kenny, Rose Anne",5,5,11.459999999999999,12.4,106,16.269811320754716
"Sasse, Astrid",5,5,8.22,7.7,95,8.56
"Bishop, Sonia",6,4,10.899999999999999,7.2,42,8.242857142857142
"Tobin, Katy",8,4,6.55,6.55,47,1.7531914893617022
"McCrory, Connail R.",3,3,6.8,7.1,10,6.590000000000001
"Kenna, Paul F.",3,3,4.7,3.4,15,4.359999999999999
"Tsanov, Marian",2,2,6.75,6.75,16,7.0125
"Witney, A. G.",2,2,6.15,6.15,2,6.15
"Ryan, Tomás",1,1,87.6,87.6,4,87.6
"Lynch, Aileen M.",1,1,4.3,4.3,11,4.3
